"customer_id","churn_label","churn_reason"
"9576-ANLXO",True,"Competitor offered higher download speeds"
"2024-BASKD",True,"Competitor offered more data"
"4160-AMJTL",True,"Competitor offered more data"
"4464-JCOLN",True,"Competitor offered more data"
"5650-VDUDS",True,"Competitor made better offer"
"7538-GWHML",True,"Competitor made better offer"
"3859-CVCET",True,"Competitor had better devices"
"3276-HDUEG",True,"Competitor offered higher download speeds"
"0823-HSCDJ",True,"Competitor offered more data"
"0822-GAVAP",True,"Competitor made better offer"
"1448-PWKYE",True,"Competitor had better devices"
"0067-DKWBL",True,"Competitor had better devices"
"2276-YDAVZ",True,"Competitor offered higher download speeds"
"5896-NPFWW",True,"Competitor offered higher download speeds"
"7133-VBDCG",True,"Competitor offered higher download speeds"
"1029-QFBEN",True,"Competitor offered more data"
"4952-YSOGZ",True,"Competitor offered more data"
"1589-AGTLK",True,"Competitor offered more data"
"5244-IRFIH",True,"Competitor made better offer"
"2684-EIWEO",True,"Competitor made better offer"
"6439-GTPCA",True,"Competitor had better devices"
"5138-WVKYJ",True,"Competitor offered higher download speeds"
"6683-VLCTZ",True,"Competitor offered more data"
"2189-WWOEW",True,"Don't know"
"1894-IGFSG",True,"Competitor had better devices"
"7379-POKDZ",True,"Competitor had better devices"
"0236-HFWSV",True,"Competitor offered higher download speeds"
"3900-AQPHZ",True,"Competitor offered higher download speeds"
"5842-POCOP",True,"Competitor offered higher download speeds"
"2037-XJFUP",True,"Competitor offered more data"
"7314-OXENN",True,"Competitor offered more data"
"0322-CHQRU",True,"Competitor offered more data"
"4678-DVQEO",True,"Competitor made better offer"
"0691-IFBQW",True,"Competitor made better offer"
"3009-JWMPU",True,"Attitude of service provider"
"1450-GALXR",True,"Attitude of service provider"
"3138-BKYAV",True,"Attitude of service provider"
"4289-DTDKW",True,"Attitude of support person"
"1820-TQVEV",True,"Attitude of support person"
"2239-JALAW",True,"Attitude of support person"
"4853-RULSV",True,"Attitude of service provider"
"6275-YDUVO",True,"Attitude of service provider"
"0115-TFERT",True,"Attitude of service provider"
"2311-QYMUQ",True,"Attitude of support person"
"3643-AHCFP",True,"Competitor made better offer"
"3104-OWCGK",True,"Moved"
"9101-BWFSS",True,"Moved"
"9231-ZJYAM",True,"Moved"
"6982-SSHFK",True,"Competitor offered higher download speeds"
"0727-BMPLR",True,"Competitor offered higher download speeds"
"1038-ZAGBI",True,"Competitor offered higher download speeds"
"3027-ZTDHO",True,"Don't know"
"2382-BCKQJ",True,"Competitor offered higher download speeds"
"2207-NHRJK",True,"Competitor offered higher download speeds"
"0947-MUGVO",True,"Competitor offered higher download speeds"
"9944-HKVVB",True,"Competitor offered higher download speeds"
"4124-MMETB",True,"Competitor offered higher download speeds"
"3671-SHRSP",True,"Competitor offered more data"
"3313-QKNKB",True,"Competitor offered more data"
"5073-WXOYN",True,"Competitor offered more data"
"0207-MDKNV",True,"Competitor made better offer"
"9851-KIELU",True,"Competitor made better offer"
"3908-BLSYF",True,"Price too high"
"7549-MYGPK",True,"Price too high"
"3804-RVTGV",True,"Price too high"
"9227-LUNBG",True,"Price too high"
"4315-MURBD",True,"Price too high"
"9734-YWGEX",True,"Price too high"
"2719-BDAQO",True,"Price too high"
"1907-UBQFC",True,"Price too high"
"6513-EECDB",True,"Price too high"
"7074-IEVOJ",True,"Product dissatisfaction"
"9625-QSTYE",True,"Service dissatisfaction"
"4750-ZRXIU",True,"Lack of self-service on Website"
"6400-BWQKW",True,"Network reliability"
"6680-WKXRZ",True,"Don't know"
"7028-DVOIQ",True,"Don't know"
"4208-UFFGW",True,"Don't know"
"9448-REEVD",True,"Don't know"
"9117-SHLZX",True,"Poor expertise of phone support"
"9889-TMAHG",True,"Competitor had better devices"
"4541-RMRLG",True,"Competitor offered higher download speeds"
"3158-MOERK",True,"Competitor offered more data"
"7294-TMAOP",True,"Competitor made better offer"
"8919-FYFQZ",True,"Competitor had better devices"
"2834-JRTUA",True,"Competitor had better devices"
"5875-YPQFJ",True,"Competitor offered higher download speeds"
"6646-QVXLR",True,"Competitor offered higher download speeds"
"8603-IJWDN",True,"Competitor offered higher download speeds"
"9369-XFEHK",True,"Competitor offered more data"
"3842-IYKUE",True,"Competitor offered more data"
"6641-XRPSU",True,"Competitor offered more data"
"1374-DMZUI",True,"Competitor made better offer"
"8357-EQXFO",True,"Competitor made better offer"
"1989-PRJHP",True,"Competitor had better devices"
"9524-EGPJC",True,"Competitor offered higher download speeds"
"6993-OHLXR",True,"Competitor offered more data"
"8818-XYFCQ",True,"Competitor made better offer"
"4695-VADHF",True,"Competitor had better devices"
"3863-IUBJR",True,"Competitor had better devices"
"4822-RVYBB",True,"Competitor offered higher download speeds"
"8436-BJUMM",True,"Competitor offered higher download speeds"
"4184-TJFAN",True,"Competitor offered higher download speeds"
"4145-UQXUQ",True,"Competitor offered more data"
"9948-YPTDG",True,"Competitor offered more data"
"1236-WFCDV",True,"Competitor offered more data"
"4883-QICIH",True,"Don't know"
"8329-IBCTI",True,"Competitor made better offer"
"1271-SJBGZ",True,"Competitor had better devices"
"5669-SRAIP",True,"Competitor offered higher download speeds"
"5981-ITEMU",True,"Competitor offered more data"
"6941-PMGEP",True,"Competitor made better offer"
"1624-WOIWJ",True,"Competitor had better devices"
"2074-GKOWZ",True,"Competitor had better devices"
"0376-YMCJC",True,"Competitor offered higher download speeds"
"0634-SZPQA",True,"Competitor offered higher download speeds"
"5536-RTPWK",True,"Competitor offered higher download speeds"
"6166-ILMNY",True,"Competitor offered more data"
"3097-NNSPB",True,"Competitor offered more data"
"0655-RBDUG",True,"Competitor offered more data"
"4361-BKAXE",True,"Competitor made better offer"
"9878-TNQGW",True,"Competitor made better offer"
"4441-NIHPT",True,"Competitor had better devices"
"8999-BOHSE",True,"Competitor offered higher download speeds"
"7029-RPUAV",True,"Competitor offered more data"
"4607-CHPCA",True,"Competitor made better offer"
"8824-RWFXJ",True,"Competitor had better devices"
"9763-PDTKK",True,"Competitor had better devices"
"7627-JKIAZ",True,"Competitor offered higher download speeds"
"4081-DYXAV",True,"Competitor offered higher download speeds"
"8111-SLLHI",True,"Competitor offered higher download speeds"
"0927-LCSMG",True,"Competitor offered more data"
"8257-RZAHR",True,"Competitor offered more data"
"5293-WXJAK",True,"Competitor offered more data"
"0841-NULXI",True,"Don't know"
"7851-WZEKY",True,"Competitor made better offer"
"8844-TONUD",True,"Attitude of service provider"
"4086-YQSNZ",True,"Attitude of service provider"
"5868-CZJDR",True,"Attitude of service provider"
"0135-NMXAP",True,"Attitude of support person"
"6270-OMFIW",True,"Attitude of support person"
"6818-WOBHJ",True,"Network reliability"
"0107-WESLM",True,"Attitude of support person"
"3992-YWPKO",True,"Attitude of service provider"
"0125-LZQXK",True,"Attitude of service provider"
"8399-YNDCH",True,"Attitude of service provider"
"5673-FSSMF",True,"Attitude of support person"
"1579-KLYDT",True,"Competitor made better offer"
"3927-NLNRY",True,"Moved"
"6358-LYNGM",True,"Moved"
"5494-HECPR",True,"Moved"
"9824-BEMCV",True,"Competitor offered higher download speeds"
"1373-ORVIZ",True,"Competitor offered higher download speeds"
"9866-QEVEE",True,"Competitor offered higher download speeds"
"9897-KXHCM",True,"Competitor offered higher download speeds"
"7979-CORPM",True,"Don't know"
"1618-CFHME",True,"Don't know"
"3165-HDOEW",True,"Don't know"
"6581-NQCBA",True,"Don't know"
"1689-MRZQR",True,"Don't know"
"5835-BEQEU",True,"Don't know"
"5565-FILXA",True,"Don't know"
"5552-ZNFSJ",True,"Don't know"
"2223-KAGMX",True,"Don't know"
"7321-PKUYW",True,"Competitor offered higher download speeds"
"2833-SLKDQ",True,"Network reliability"
"7595-EUIVN",True,"Network reliability"
"2026-TGDHM",True,"Network reliability"
"4030-VPZBD",True,"Network reliability"
"4187-CINZD",True,"Network reliability"
"2408-TZMJL",True,"Network reliability"
"9134-CEQMF",True,"Network reliability"
"7993-PYKOF",True,"Network reliability"
"5027-XWQHA",True,"Network reliability"
"4566-QVRRW",True,"Network reliability"
"8519-IMDHU",True,"Network reliability"
"0201-OAMXR",True,"Network reliability"
"3372-KWFBM",True,"Network reliability"
"7831-QGOXH",True,"Don't know"
"6393-WRYZE",True,"Don't know"
"6599-RCLCJ",True,"Don't know"
"9831-BPFRI",True,"Poor expertise of online support"
"1725-MIMXW",True,"Poor expertise of phone support"
"0031-PVLZI",True,"Competitor had better devices"
"7206-GZCDC",True,"Competitor offered higher download speeds"
"4791-QRGMF",True,"Competitor offered more data"
"1768-ZAIFU",True,"Competitor made better offer"
"4671-LXRDQ",True,"Competitor had better devices"
"1934-SJVJK",True,"Competitor had better devices"
"3838-OZURD",True,"Competitor offered higher download speeds"
"9269-CQOOL",True,"Competitor offered higher download speeds"
"2845-HSJCY",True,"Competitor offered higher download speeds"
"1184-PJVDB",True,"Competitor offered more data"
"9415-DPEWS",True,"Competitor offered more data"
"7943-RQCHR",True,"Competitor offered more data"
"3793-MMFUH",True,"Competitor made better offer"
"3249-ZPQRG",True,"Competitor made better offer"
"2568-BRGYX",True,"Competitor had better devices"
"7721-JXEAW",True,"Competitor offered higher download speeds"
"7249-WBIYX",True,"Competitor offered more data"
"6567-HOOPW",True,"Competitor made better offer"
"3164-AALRN",True,"Competitor had better devices"
"3334-CTHOL",True,"Competitor had better devices"
"4704-ERYFC",True,"Competitor offered higher download speeds"
"8621-MNIHH",True,"Competitor offered higher download speeds"
"0471-LVHGK",True,"Competitor offered higher download speeds"
"9518-RWHZL",True,"Competitor offered more data"
"5419-CONWX",True,"Competitor offered more data"
"6240-EURKS",True,"Competitor offered more data"
"6960-HVYXR",True,"Competitor made better offer"
"7024-OHCCK",True,"Don't know"
"7861-UVUFT",True,"Competitor had better devices"
"5357-TZHPP",True,"Competitor offered higher download speeds"
"0680-DFNNY",True,"Competitor offered more data"
"7767-UXAGJ",True,"Competitor made better offer"
"1571-SAVHK",True,"Competitor had better devices"
"9546-CQJSU",True,"Competitor had better devices"
"0506-LVNGN",True,"Competitor offered higher download speeds"
"2951-QOQTK",True,"Competitor offered higher download speeds"
"3473-XIIIT",True,"Competitor offered higher download speeds"
"7893-IXHRQ",True,"Competitor offered more data"
"2952-QAYZF",True,"Competitor offered more data"
"4763-PGDPO",True,"Competitor offered more data"
"5394-SVGJV",True,"Competitor made better offer"
"9283-LZQOH",True,"Competitor made better offer"
"6100-QQHEB",True,"Moved"
"7079-QRCBC",True,"Competitor had better devices"
"5469-CTCWN",True,"Competitor offered higher download speeds"
"9851-QXEEQ",True,"Competitor offered more data"
"9809-IMGCQ",True,"Competitor made better offer"
"5208-HFSBT",True,"Competitor had better devices"
"3254-YRILK",True,"Competitor had better devices"
"2667-WYLWJ",True,"Competitor offered higher download speeds"
"0529-ONKER",True,"Competitor offered higher download speeds"
"5240-IJOQT",True,"Competitor offered higher download speeds"
"1092-GANHU",True,"Competitor offered more data"
"0661-XEYAN",True,"Competitor offered more data"
"7881-EVUAD",True,"Competitor offered more data"
"5766-XQXMQ",True,"Competitor made better offer"
"3703-VAVCL",True,"Competitor made better offer"
"8519-QJGJD",True,"Attitude of service provider"
"6326-MTTXK",True,"Attitude of service provider"
"0330-IVZHA",True,"Attitude of service provider"
"2886-KEFUM",True,"Attitude of support person"
"4237-RLAQD",True,"Attitude of support person"
"9651-GTSAQ",True,"Attitude of support person"
"3186-BAXNB",True,"Attitude of service provider"
"0637-YLETY",True,"Attitude of service provider"
"1157-BQCUW",True,"Attitude of service provider"
"2660-EMUBI",True,"Attitude of support person"
"7675-OZCZG",True,"Competitor made better offer"
"2003-CKLOR",True,"Moved"
"9254-RBFON",True,"Moved"
"1205-WNWPJ",True,"Moved"
"9391-EOYLI",True,"Competitor made better offer"
"8387-MOJJT",True,"Competitor made better offer"
"2761-OCIAX",True,"Competitor made better offer"
"3068-OMWZA",True,"Competitor made better offer"
"6032-KRXXO",True,"Competitor made better offer"
"7459-RRWQZ",True,"Competitor made better offer"
"4154-AQUGT",True,"Competitor made better offer"
"3092-IGHWF",True,"Competitor made better offer"
"8017-LXHFA",True,"Competitor made better offer"
"6352-TWCAU",True,"Competitor made better offer"
"2929-QNSRW",True,"Competitor made better offer"
"1262-OPMFY",True,"Competitor made better offer"
"4248-QPAVC",True,"Competitor made better offer"
"1899-VXWXM",True,"Competitor made better offer"
"4690-LLKUA",True,"Extra data charges"
"3331-HQDTW",True,"Extra data charges"
"9490-DFPMD",True,"Extra data charges"
"5442-XSDCW",True,"Extra data charges"
"3049-NDXFL",True,"Extra data charges"
"8580-AECUZ",True,"Extra data charges"
"7963-GQRMY",True,"Extra data charges"
"1228-FZFRV",True,"Extra data charges"
"2058-DCJBE",True,"Extra data charges"
"5364-XYIRR",True,"Extra data charges"
"4829-AUOAX",True,"Extra data charges"
"5047-LHVLY",True,"Extra data charges"
"9158-VCTQB",True,"Extra data charges"
"6311-UEUME",True,"Extra data charges"
"2634-HCZGT",True,"Moved"
"6839-ITVZJ",True,"Don't know"
"0375-HVGXO",True,"Don't know"
"8593-WHYHV",True,"Don't know"
"6097-EQISJ",True,"Attitude of support person"
"4423-YLHDV",True,"Attitude of support person"
"0107-YHINA",True,"Attitude of support person"
"8640-SDGKB",True,"Attitude of support person"
"4116-TZAQJ",True,"Attitude of support person"
"3877-JRJIP",True,"Attitude of support person"
"8375-DKEBR",True,"Attitude of support person"
"7511-YMXVQ",True,"Attitude of support person"
"7551-JOHTI",True,"Attitude of support person"
"9804-ICWBG",True,"Attitude of support person"
"5318-IXUZF",True,"Don't know"
"3198-VELRD",True,"Attitude of support person"
"9436-ZBZCT",True,"Attitude of support person"
"7279-BUYWN",True,"Attitude of support person"
"7156-MHUGY",True,"Attitude of support person"
"7198-GLXTC",True,"Attitude of support person"
"0516-VRYBW",True,"Attitude of support person"
"8380-PEFPE",True,"Attitude of support person"
"5687-DKDTV",True,"Attitude of support person"
"7530-HDYDS",True,"Attitude of support person"
"3096-IZETN",True,"Attitude of support person"
"5922-ABDVO",True,"Attitude of support person"
"9172-ANCRX",True,"Attitude of support person"
"6910-HADCM",True,"Attitude of support person"
"5948-UJZLF",False,NULL
"4816-LXZYW",True,"Attitude of support person"
"9606-PBKBQ",True,"Attitude of support person"
"3536-IQCTX",True,"Attitude of support person"
"4911-BANWH",True,"Attitude of support person"
"8496-EJAUI",True,"Attitude of support person"
"3132-TVFDZ",True,"Attitude of support person"
"8080-DDEMJ",True,"Attitude of support person"
"6365-MTGZX",True,"Attitude of support person"
"1349-WXNGG",True,"Attitude of support person"
"6990-YNRIO",True,"Attitude of support person"
"0621-TWIEM",True,"Attitude of support person"
"2485-ITVKB",True,"Attitude of support person"
"3669-OYSJI",True,"Attitude of support person"
"1612-EOHDH",True,"Attitude of support person"
"6702-OHFWR",True,"Don't know"
"4510-PYUSH",True,"Attitude of support person"
"7517-SAWMO",True,"Attitude of support person"
"4143-HHPMK",True,"Attitude of support person"
"7054-LGEQW",True,"Attitude of support person"
"0923-PNFUB",True,"Attitude of support person"
"3494-JCHRQ",True,"Attitude of support person"
"6474-FVJLC",True,"Attitude of support person"
"8840-DQLGN",True,"Attitude of support person"
"4547-LYTDD",True,"Attitude of support person"
"6770-XUAGN",True,"Attitude of support person"
"4193-ORFCL",True,"Attitude of support person"
"7776-QWNFX",True,"Attitude of support person"
"6689-TCZHQ",True,"Attitude of support person"
"3143-ILDAL",True,"Attitude of support person"
"4720-VSTSI",True,"Attitude of support person"
"3946-MHCZW",True,"Attitude of support person"
"6651-AZVTJ",True,"Attitude of support person"
"4566-GOLUK",True,"Attitude of support person"
"2484-DGXPZ",True,"Attitude of support person"
"4587-NUKOX",True,"Attitude of support person"
"0420-BWTPW",True,"Attitude of support person"
"8183-ONMXC",True,"Attitude of support person"
"9614-RMGHA",True,"Attitude of support person"
"5054-IEXZT",True,"Attitude of support person"
"5834-ASPWA",True,"Attitude of support person"
"3948-XHGNA",True,"Attitude of support person"
"0565-IYCGT",True,"Attitude of support person"
"5445-UTODQ",True,"Don't know"
"1024-VRZHF",True,"Attitude of support person"
"9497-QCMMS",True,"Competitor made better offer"
"0348-SDKOL",True,"Moved"
"4373-MAVJG",True,"Moved"
"8901-HJXTF",True,"Moved"
"5419-KLXBN",True,"Competitor offered higher download speeds"
"3424-NMNBO",True,"Competitor offered higher download speeds"
"4514-GFCFI",True,"Competitor offered higher download speeds"
"9828-AOQLM",True,"Competitor offered higher download speeds"
"8000-REIQB",True,"Competitor offered higher download speeds"
"7615-ESMYF",True,"Competitor offered higher download speeds"
"3858-VOBET",True,"Competitor offered higher download speeds"
"1447-PJGGA",True,"Competitor offered higher download speeds"
"8565-CLBZW",True,"Competitor offered higher download speeds"
"9139-WQQDY",True,"Competitor offered higher download speeds"
"0224-HJAPT",True,"Competitor offered higher download speeds"
"8086-OVPWV",True,"Competitor offered higher download speeds"
"9430-FRQOC",True,"Competitor offered higher download speeds"
"3074-GQWYX",True,"Competitor offered higher download speeds"
"6845-RGTYS",True,"Product dissatisfaction"
"8861-HGGKB",True,"Product dissatisfaction"
"7065-YUNRY",True,"Product dissatisfaction"
"7694-VLBWQ",True,"Product dissatisfaction"
"4795-KTRTH",True,"Product dissatisfaction"
"6481-OGDOO",True,"Product dissatisfaction"
"3753-TSEMP",True,"Product dissatisfaction"
"8305-VHZBZ",True,"Product dissatisfaction"
"9172-JITSM",True,"Don't know"
"6298-QDFNH",True,"Product dissatisfaction"
"9961-JBNMK",True,"Product dissatisfaction"
"6173-ITPWD",True,"Product dissatisfaction"
"9734-UYXQI",True,"Product dissatisfaction"
"2189-UXTKY",True,"Product dissatisfaction"
"4958-GZWIY",True,"Don't know"
"6356-ELRKD",True,"Don't know"
"8624-GIOUT",True,"Don't know"
"6179-GJPSO",True,"Poor expertise of online support"
"3177-LASXD",True,"Poor expertise of phone support"
"4897-QSUYC",True,"Attitude of support person"
"1084-UQCHV",True,"Attitude of support person"
"8290-YWKHZ",True,"Attitude of service provider"
"2955-BJZHG",True,"Attitude of service provider"
"3806-DXQOM",True,"Attitude of service provider"
"9300-RENDD",True,"Attitude of support person"
"0761-AETCS",True,"Attitude of support person"
"2153-MREFK",True,"Attitude of support person"
"3106-ULWFW",True,"Attitude of service provider"
"0925-VYDLG",True,"Attitude of service provider"
"4349-GFQHK",True,"Attitude of service provider"
"7802-EFKNY",True,"Attitude of support person"
"8035-BUYVG",True,"Attitude of support person"
"9787-XVQIU",True,"Attitude of support person"
"8945-MUQUF",True,"Attitude of service provider"
"8051-HJRLT",True,"Attitude of service provider"
"3023-GFLBR",True,"Attitude of service provider"
"0524-IAVZO",True,"Don't know"
"2737-YNGYW",True,"Attitude of support person"
"5159-YFPKQ",True,"Attitude of support person"
"4021-RQSNY",True,"Attitude of service provider"
"9061-TIHDA",True,"Attitude of service provider"
"8699-ASUFO",True,"Attitude of service provider"
"7927-AUXBZ",True,"Attitude of support person"
"4695-WJZUE",True,"Attitude of support person"
"7619-ODSGN",True,"Attitude of support person"
"3988-RQIXO",True,"Attitude of service provider"
"2514-GINMM",True,"Attitude of service provider"
"5931-FLJJF",True,"Attitude of service provider"
"2659-VXMWZ",True,"Attitude of support person"
"3207-OYBWH",True,"Attitude of support person"
"4285-GYRQC",True,"Attitude of support person"
"7216-EWTRS",True,"Attitude of service provider"
"8337-MSSXB",True,"Attitude of service provider"
"8182-BJDSI",True,"Attitude of service provider"
"2528-HFYZX",True,"Attitude of support person"
"2482-CZGBB",True,"Attitude of support person"
"0866-QLSIR",True,"Attitude of support person"
"7181-BQYBV",True,"Attitude of service provider"
"6204-IEUXJ",True,"Attitude of service provider"
"4529-CKBCL",True,"Attitude of service provider"
"2506-CLAKW",True,"Attitude of support person"
"1583-IHQZE",True,"Attitude of support person"
"0151-ONTOV",True,"Attitude of support person"
"4140-MUHUG",True,"Attitude of service provider"
"0320-JDNQG",True,"Don't know"
"7180-PISOG",True,"Attitude of service provider"
"3571-RFHAR",True,"Attitude of support person"
"9578-VRMNM",True,"Attitude of support person"
"1587-FKLZB",True,"Attitude of support person"
"6140-QNRQQ",True,"Attitude of service provider"
"4307-KTUMW",True,"Attitude of service provider"
"5440-FLBQG",True,"Attitude of service provider"
"7470-MCQTK",True,"Attitude of support person"
"7488-MXJIV",True,"Attitude of support person"
"2027-FECZV",True,"Attitude of support person"
"2672-DZUOY",True,"Attitude of service provider"
"3870-MQAMG",True,"Attitude of service provider"
"4800-CZMPC",True,"Attitude of service provider"
"7377-DMMRI",True,"Attitude of support person"
