"customer_id","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies"
"4412-YLTKF",True,"Yes","Fiber optic","No","No","Yes","No","No","No"
"6207-WIOLX",False,"No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes"
"3091-FYHKI",False,"No phone service","DSL","No","No","No","No","No","Yes"
"2372-HWUHI",True,"No","DSL","No","No","No","No","No","No"
"0390-DCFDQ",True,"No","Fiber optic","No","No","No","No","No","No"
"4080-OGPJL",True,"Yes","DSL","Yes","No","No","Yes","No","Yes"
"2135-RXIHG",True,"No","DSL","No","No","No","No","No","No"
"3874-EQOEP",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"0867-MKZVY",True,"Yes","Fiber optic","Yes","No","No","No","No","No"
"3376-BMGFE",True,"No","Fiber optic","No","No","No","No","No","No"
"3445-HXXGF",False,"No phone service","DSL","No","Yes","Yes","No","No","Yes"
"1875-QIVME",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"0691-JVSYA",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"2656-FMOKZ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"2070-FNEXE",True,"No","Fiber optic","Yes","No","No","No","No","No"
"6317-YPKDH",False,"No phone service","DSL","No","Yes","No","No","No","No"
"9367-WXLCH",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"1918-ZBFQJ",True,"No","Fiber optic","No","Yes","Yes","No","No","No"
"1024-GUALD",False,"No phone service","DSL","No","No","No","No","No","No"
"2472-OVKUP",True,"No","Fiber optic","No","Yes","Yes","No","No","Yes"
"1285-OKIPP",True,"No","Fiber optic","No","No","No","No","No","Yes"
"7825-ECJRF",True,"No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"7841-TZDMQ",True,"No","DSL","No","No","No","No","No","No"
"9408-SSNVZ",True,"No","Fiber optic","No","No","No","No","No","No"
"0742-MOABM",True,"No","DSL","No","No","No","Yes","No","No"
"2232-DMLXU",True,"No","DSL","No","No","No","No","Yes","No"
"8937-RDTHP",True,"No","Fiber optic","Yes","No","No","No","No","Yes"
"1251-KRREG",True,"Yes","DSL","No","Yes","No","No","No","No"
"0094-OIFMO",True,"No","Fiber optic","No","Yes","No","No","Yes","Yes"
"9947-OTFQU",True,"No","Fiber optic","No","Yes","No","No","No","No"
"0322-YINQP",True,"No","DSL","Yes","No","No","No","No","No"
"4629-NRXKX",True,"No","Fiber optic","No","No","No","No","No","No"
"9514-JDSKI",False,"No phone service","DSL","No","Yes","No","No","Yes","No"
"4959-JOSRX",True,"No","DSL","No","No","No","No","No","No"
"7273-TEFQD",False,"No phone service","DSL","No","No","Yes","No","No","Yes"
"3606-TWKGI",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"6323-AYBRX",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"4385-GZQXV",True,"No","Fiber optic","No","No","No","Yes","Yes","Yes"
"6366-ZGQGL",False,"No phone service","DSL","No","No","No","No","No","No"
"5940-AHUHD",True,"No","Fiber optic","No","No","No","No","No","No"
"6432-TWQLB",True,"Yes","Fiber optic","No","Yes","No","Yes","No","No"
"4484-GLZOU",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"9512-UIBFX",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"5583-SXDAG",True,"No","Fiber optic","No","No","No","No","No","No"
"3488-PGMQJ",True,"No","Fiber optic","No","Yes","No","No","No","No"
"3580-REOAC",True,"No","DSL","No","No","No","No","No","No"
"7534-BFESC",True,"Yes","Fiber optic","No","No","No","No","No","No"
"6390-DSAZX",True,"No","Fiber optic","Yes","No","No","No","No","No"
"8098-LLAZX",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"0265-EDXBD",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7563-BIUPC",True,"No","Fiber optic","No","No","No","No","Yes","No"
"2321-OMBXY",True,"No","DSL","Yes","Yes","No","Yes","Yes","Yes"
"2840-XANRC",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"5020-ZSTTY",True,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes"
"5804-LEPIM",True,"No","Fiber optic","No","No","No","No","No","No"
"0122-OAHPZ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"2868-SNELZ",True,"Yes","Fiber optic","No","No","Yes","No","No","No"
"4322-RCYMT",True,"Yes","DSL","No","Yes","Yes","Yes","No","Yes"
"6680-NENYN",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"1343-EHPYB",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"2034-GDRCN",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"0219-YTZUE",True,"Yes","Fiber optic","No","Yes","Yes","No","No","No"
"0623-IIHUG",False,"No phone service","DSL","Yes","No","No","No","Yes","No"
"4572-DVCGN",True,"No","Fiber optic","No","No","No","No","No","Yes"
"9057-MSWCO",False,"No phone service","DSL","Yes","No","No","No","No","No"
"1010-DIAUQ",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"0259-GBZSH",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"9601-BRXPO",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"6905-NIQIN",True,"No","DSL","No","Yes","No","No","No","No"
"5167-ZFFMM",True,"Yes","Fiber optic","No","Yes","No","No","No","Yes"
"4895-TMWIR",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0533-BNWKF",True,"Yes","Fiber optic","No","Yes","Yes","No","No","No"
"6599-CEBNN",True,"No","Fiber optic","No","Yes","No","No","No","No"
"0979-PHULV",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"4800-VHZKI",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"7989-CHGTL",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0334-GDDSO",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"0578-SKVMF",True,"No","Fiber optic","No","Yes","No","No","No","Yes"
"5564-NEMQO",True,"No","Fiber optic","No","No","Yes","No","No","No"
"9063-ZGTUY",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"2957-LOLHO",True,"No","DSL","No","No","No","No","No","No"
"7752-XUSCI",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"4110-PFEUZ",True,"No","Fiber optic","No","No","No","No","No","No"
"0256-LTHVJ",True,"No","Fiber optic","No","No","No","No","No","Yes"
"0880-TKATG",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"3811-VBYBZ",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"4640-UHDOS",True,"No","DSL","No","No","No","No","No","Yes"
"3583-EKAPL",True,"No","DSL","No","No","No","No","No","Yes"
"9399-APLBT",True,"No","Fiber optic","No","Yes","No","No","No","No"
"2359-KMGLI",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"0306-JAELE",True,"No","Fiber optic","No","No","No","Yes","Yes","Yes"
"6227-HWPWX",True,"No","Fiber optic","No","No","No","No","No","No"
"0447-BEMNG",False,"No phone service","DSL","Yes","No","Yes","No","No","Yes"
"5949-XIKAE",True,"No","Fiber optic","No","Yes","No","No","Yes","No"
"8372-JUXUI",True,"Yes","Fiber optic","No","No","No","No","No","No"
"0388-EOPEX",True,"No","Fiber optic","Yes","No","No","No","No","No"
"8205-OTCHB",False,"No phone service","DSL","No","Yes","Yes","No","No","Yes"
"6235-VDHOM",False,"No phone service","DSL","No","Yes","No","No","No","No"
"7783-YKGDV",True,"Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes"
"5609-CEBID",True,"Yes","Fiber optic","No","Yes","Yes","No","No","Yes"
"7218-HKQFK",True,"No","Fiber optic","No","No","No","Yes","Yes","Yes"
"4636-QRJKY",True,"Yes","Fiber optic","No","No","No","Yes","No","No"
"5956-VKDTT",True,"Yes","Fiber optic","No","No","No","No","No","No"
"9412-GHEEC",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"0257-ZESQC",True,"No","Fiber optic","Yes","No","No","No","No","No"
"6825-UYPFK",True,"Yes","Fiber optic","No","No","No","No","No","No"
"8397-MVTAZ",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"9282-IZGQK",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"1342-JPNKI",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"2817-NTQDO",False,"No phone service","DSL","Yes","No","No","Yes","Yes","No"
"6986-IJDHX",True,"No","Fiber optic","No","Yes","No","No","Yes","No"
"5301-GAUUY",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"0939-YAPAF",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"4710-FDUIZ",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"1218-VKFPE",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3627-FHKBK",True,"No","Fiber optic","Yes","No","No","No","No","No"
"2865-TCHJW",True,"Yes","Fiber optic","No","No","Yes","No","Yes","No"
"5192-EBGOV",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"0719-SYFRB",True,"Yes","DSL","Yes","No","Yes","Yes","No","No"
"3419-SNJJD",True,"Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"6543-CPZMK",False,"No phone service","DSL","No","Yes","No","No","No","No"
"4765-OXPPD",True,"No","DSL","Yes","Yes","Yes","Yes","No","No"
"1009-IRMNA",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"4554-YGZIH",True,"Yes","Fiber optic","No","Yes","No","No","No","Yes"
"5099-BAILX",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"7207-RMRDB",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"4913-EHYUI",True,"Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes"
"0195-IESCP",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"4580-TMHJU",True,"No","DSL","No","No","No","No","Yes","No"
"0970-ETWGE",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"1626-ERCMM",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"0887-HJGAR",True,"No","DSL","No","No","No","No","No","No"
"5644-PDMZC",True,"Yes","Fiber optic","No","Yes","No","No","No","Yes"
"9576-ANLXO",True,"No","Fiber optic","No","No","No","No","No","No"
"2024-BASKD",True,"No","Fiber optic","No","No","Yes","No","No","No"
"4160-AMJTL",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"4464-JCOLN",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"5650-VDUDS",False,"No phone service","DSL","No","No","No","No","No","No"
"7538-GWHML",True,"No","Fiber optic","No","No","No","No","No","No"
"3859-CVCET",True,"No","DSL","No","No","No","No","No","No"
"3276-HDUEG",True,"Yes","Fiber optic","No","No","No","No","No","No"
"0823-HSCDJ",False,"No phone service","DSL","No","Yes","No","No","Yes","Yes"
"0822-GAVAP",False,"No phone service","DSL","No","No","No","No","No","Yes"
"1448-PWKYE",True,"No","Fiber optic","No","No","No","No","No","Yes"
"0067-DKWBL",True,"No","DSL","Yes","No","No","No","No","No"
"2276-YDAVZ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"5896-NPFWW",True,"No","DSL","No","No","Yes","No","No","No"
"7133-VBDCG",True,"No","Fiber optic","Yes","Yes","No","No","No","No"
"1029-QFBEN",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"4952-YSOGZ",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"1589-AGTLK",True,"No","DSL","No","No","No","No","No","No"
"5244-IRFIH",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"2684-EIWEO",True,"Yes","Fiber optic","Yes","Yes","Yes","No","No","No"
"6439-GTPCA",True,"Yes","Fiber optic","No","No","Yes","Yes","No","No"
"5138-WVKYJ",True,"Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"6683-VLCTZ",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"2189-WWOEW",True,"No","Fiber optic","No","Yes","No","No","No","Yes"
"1894-IGFSG",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"7379-POKDZ",True,"No","Fiber optic","No","No","No","No","No","No"
"0236-HFWSV",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"3900-AQPHZ",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"5842-POCOP",True,"No","Fiber optic","Yes","No","Yes","No","No","Yes"
"2037-XJFUP",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"7314-OXENN",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"0322-CHQRU",True,"No","DSL","No","No","No","No","No","No"
"4678-DVQEO",True,"No","DSL","No","No","No","Yes","No","No"
"0691-IFBQW",True,"Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
"3009-JWMPU",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"1450-GALXR",True,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes"
"3138-BKYAV",True,"No","Fiber optic","No","Yes","No","No","Yes","No"
"4289-DTDKW",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"1820-TQVEV",True,"No","Fiber optic","No","No","No","No","No","No"
"2239-JALAW",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"4853-RULSV",True,"Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes"
"6275-YDUVO",True,"No","Fiber optic","No","No","Yes","No","No","Yes"
"0115-TFERT",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"2311-QYMUQ",True,"No","Fiber optic","No","Yes","Yes","No","Yes","No"
"3643-AHCFP",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"3104-OWCGK",True,"No","Fiber optic","No","Yes","Yes","No","Yes","No"
"9101-BWFSS",True,"Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes"
"9231-ZJYAM",True,"No","Fiber optic","No","No","No","No","Yes","No"
"6982-SSHFK",True,"No","DSL","No","No","No","No","No","No"
"0727-BMPLR",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"1038-ZAGBI",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3027-ZTDHO",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"2382-BCKQJ",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"2207-NHRJK",True,"No","DSL","No","Yes","No","No","No","No"
"0947-MUGVO",True,"No","Fiber optic","No","Yes","No","No","No","No"
"9944-HKVVB",True,"No","Fiber optic","No","Yes","No","No","Yes","Yes"
"4124-MMETB",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"3671-SHRSP",True,"No","Fiber optic","No","No","Yes","Yes","No","No"
"3313-QKNKB",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"5073-WXOYN",False,"No phone service","DSL","No","Yes","No","No","Yes","Yes"
"0207-MDKNV",True,"No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"9851-KIELU",True,"No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"3908-BLSYF",True,"No","Fiber optic","No","No","Yes","No","No","Yes"
"7549-MYGPK",True,"Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No"
"3804-RVTGV",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"9227-LUNBG",False,"No phone service","DSL","No","No","No","No","No","No"
"4315-MURBD",True,"No","Fiber optic","Yes","No","No","Yes","Yes","Yes"
"9734-YWGEX",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"2719-BDAQO",True,"No","Fiber optic","Yes","No","No","No","Yes","Yes"
"0781-LKXBR",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"1907-UBQFC",True,"No","Fiber optic","No","Yes","No","No","No","No"
"6513-EECDB",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7074-IEVOJ",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"9625-QSTYE",True,"No","Fiber optic","No","Yes","Yes","No","No","No"
"4750-ZRXIU",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"6400-BWQKW",True,"Yes","Fiber optic","Yes","No","No","No","No","No"
"6680-WKXRZ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"7028-DVOIQ",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"4208-UFFGW",True,"No","DSL","No","No","No","No","No","No"
"9448-REEVD",True,"No","DSL","No","No","No","No","No","No"
"9117-SHLZX",True,"No","DSL","No","No","No","No","No","No"
"9889-TMAHG",True,"No","Fiber optic","Yes","No","No","Yes","Yes","Yes"
"4541-RMRLG",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3158-MOERK",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"7294-TMAOP",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"8919-FYFQZ",False,"No phone service","DSL","No","Yes","No","No","No","No"
"2834-JRTUA",True,"Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes"
"5875-YPQFJ",True,"No","Fiber optic","No","No","No","No","No","No"
"6646-QVXLR",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"8603-IJWDN",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"9369-XFEHK",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"3842-IYKUE",True,"Yes","Fiber optic","No","Yes","No","Yes","No","No"
"6641-XRPSU",True,"No","Fiber optic","No","No","No","No","No","No"
"1374-DMZUI",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"8357-EQXFO",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"1989-PRJHP",True,"Yes","Fiber optic","No","No","No","No","No","No"
"9524-EGPJC",True,"Yes","Fiber optic","No","No","No","Yes","No","Yes"
"6993-OHLXR",True,"No","Fiber optic","No","No","No","No","No","No"
"8818-XYFCQ",True,"Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"4695-VADHF",True,"No","DSL","No","No","Yes","No","No","Yes"
"3863-IUBJR",True,"No","DSL","No","No","No","No","No","Yes"
"4822-RVYBB",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"8436-BJUMM",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"4184-TJFAN",True,"No","Fiber optic","Yes","No","No","Yes","Yes","No"
"4145-UQXUQ",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"9948-YPTDG",True,"No","Fiber optic","Yes","Yes","No","No","No","No"
"1236-WFCDV",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"4883-QICIH",True,"No","Fiber optic","No","No","No","No","No","No"
"8329-IBCTI",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"1271-SJBGZ",False,"No phone service","DSL","No","No","Yes","Yes","No","Yes"
"5669-SRAIP",False,"No phone service","DSL","No","No","Yes","No","No","Yes"
"5981-ITEMU",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"6941-PMGEP",True,"No","Fiber optic","No","No","No","No","No","Yes"
"1624-WOIWJ",True,"No","Fiber optic","Yes","No","No","No","Yes","No"
"2074-GKOWZ",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"0376-YMCJC",True,"Yes","Fiber optic","No","No","No","Yes","Yes","No"
"0634-SZPQA",True,"Yes","Fiber optic","Yes","No","No","No","Yes","No"
"5536-RTPWK",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"6166-ILMNY",True,"No","Fiber optic","No","No","No","No","No","No"
"3097-NNSPB",True,"No","DSL","No","Yes","No","No","No","No"
"0655-RBDUG",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"4361-BKAXE",True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"9878-TNQGW",True,"No","Fiber optic","No","No","No","No","No","Yes"
"4441-NIHPT",True,"No","Fiber optic","No","No","Yes","No","No","No"
"8999-BOHSE",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"7029-RPUAV",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"4607-CHPCA",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"8824-RWFXJ",True,"No","DSL","No","Yes","Yes","No","No","No"
"9763-PDTKK",True,"No","Fiber optic","Yes","No","Yes","Yes","No","Yes"
"7627-JKIAZ",True,"Yes","Fiber optic","No","No","Yes","No","No","No"
"4081-DYXAV",False,"No phone service","DSL","No","No","No","No","Yes","Yes"
"8111-SLLHI",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"0927-LCSMG",True,"No","Fiber optic","No","No","Yes","No","No","No"
"8257-RZAHR",True,"Yes","DSL","Yes","No","No","No","Yes","No"
"5293-WXJAK",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"0841-NULXI",False,"No phone service","DSL","No","No","No","No","No","Yes"
"7851-WZEKY",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"8844-TONUD",True,"No","Fiber optic","No","No","Yes","No","Yes","Yes"
"4086-YQSNZ",True,"No","Fiber optic","No","No","No","No","Yes","No"
"5868-CZJDR",False,"No phone service","DSL","No","Yes","No","No","No","No"
"0135-NMXAP",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"6270-OMFIW",True,"No","Fiber optic","No","Yes","No","No","Yes","Yes"
"6818-WOBHJ",True,"Yes","Fiber optic","No","Yes","No","No","No","Yes"
"0107-WESLM",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"3992-YWPKO",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"0125-LZQXK",True,"No","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"8399-YNDCH",True,"No","DSL","No","No","Yes","No","Yes","No"
"5673-FSSMF",True,"Yes","DSL","No","No","No","No","No","Yes"
"1579-KLYDT",True,"Yes","Fiber optic","No","No","Yes","No","Yes","No"
"3927-NLNRY",True,"No","Fiber optic","No","Yes","No","No","Yes","Yes"
"6358-LYNGM",True,"Yes","Fiber optic","No","No","No","No","No","No"
"5494-HECPR",True,"No","Fiber optic","No","No","No","No","Yes","No"
"9824-BEMCV",True,"No","Fiber optic","No","No","No","No","No","No"
"1373-ORVIZ",True,"Yes","DSL","No","No","No","Yes","No","Yes"
"9866-QEVEE",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"9897-KXHCM",True,"No","Fiber optic","No","No","No","No","No","Yes"
"7979-CORPM",True,"Yes","Fiber optic","No","Yes","No","No","Yes","No"
"1618-CFHME",True,"Yes","Fiber optic","No","No","No","No","No","No"
"3165-HDOEW",True,"No","DSL","No","No","No","No","No","No"
"6581-NQCBA",False,"No phone service","DSL","No","No","No","Yes","Yes","Yes"
"1689-MRZQR",True,"No","Fiber optic","No","No","No","No","Yes","No"
"5835-BEQEU",True,"Yes","Fiber optic","No","No","No","No","No","No"
"5565-FILXA",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"5552-ZNFSJ",True,"No","DSL","No","No","No","No","No","No"
"2223-KAGMX",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"7321-PKUYW",True,"Yes","Fiber optic","No","No","No","Yes","Yes","No"
"2833-SLKDQ",True,"No","DSL","No","No","No","No","No","No"
"7595-EUIVN",True,"No","Fiber optic","No","Yes","No","No","No","No"
"2026-TGDHM",True,"No","Fiber optic","No","No","No","No","No","Yes"
"4030-VPZBD",False,"No phone service","DSL","No","No","No","Yes","No","No"
"4187-CINZD",True,"No","Fiber optic","No","Yes","No","No","Yes","Yes"
"2408-TZMJL",True,"Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes"
"9134-CEQMF",True,"No","Fiber optic","No","No","No","No","Yes","Yes"
"7993-PYKOF",True,"No","Fiber optic","Yes","No","No","No","No","No"
"5027-XWQHA",True,"No","DSL","No","No","No","No","No","No"
"4566-QVRRW",True,"No","DSL","No","No","No","No","No","No"
"8519-IMDHU",True,"Yes","Fiber optic","No","No","No","No","No","Yes"
"0201-OAMXR",True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes"
"3372-KWFBM",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"7831-QGOXH",True,"Yes","Fiber optic","No","No","No","No","Yes","No"
"6393-WRYZE",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"6599-RCLCJ",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"9831-BPFRI",True,"Yes","Fiber optic","No","Yes","Yes","Yes","No","No"
"1725-MIMXW",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"0031-PVLZI",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"7206-GZCDC",True,"No","Fiber optic","No","No","No","No","No","No"
"4791-QRGMF",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
