"customer_id","tenure_months","contract","paperless_billing","payment_method","monthly_charges","total_charges","cltv"
"6905-NIQIN",1,"Month-to-month",False,"Mailed check","50.65","50.65",2431
"5167-ZFFMM",1,"Month-to-month",True,"Credit card (automatic)","90.85","90.85",3424
"4895-TMWIR",11,"Month-to-month",False,"Mailed check","19.95","214.75",5888
"0533-BNWKF",55,"Month-to-month",True,"Electronic check","85.45","4874.70",5502
"6599-CEBNN",34,"Month-to-month",True,"Credit card (automatic)","73.95","2524.45",5795
"0979-PHULV",69,"Month-to-month",True,"Credit card (automatic)","99.45","7007.60",4020
"4800-VHZKI",1,"Month-to-month",True,"Mailed check","19.90","19.90",3351
"7989-CHGTL",1,"Month-to-month",True,"Mailed check","19.60","19.60",3448
"0334-GDDSO",3,"Month-to-month",True,"Electronic check","81.35","233.70",2818
"0578-SKVMF",22,"Month-to-month",False,"Electronic check","83.30","1845.90",3804
"5564-NEMQO",1,"Month-to-month",True,"Bank transfer (automatic)","75.30","75.30",4902
"9063-ZGTUY",61,"Month-to-month",True,"Mailed check","19.40","1182.55",4221
"2957-LOLHO",12,"Month-to-month",True,"Bank transfer (automatic)","45.40","518.90",2887
"7752-XUSCI",60,"Month-to-month",True,"Electronic check","105.90","6396.45",4105
"4110-PFEUZ",1,"Month-to-month",False,"Mailed check","69.55","69.55",2792
"0256-LTHVJ",28,"Month-to-month",True,"Electronic check","81.05","2227.10",5201
"0880-TKATG",4,"Month-to-month",False,"Electronic check","101.15","385.90",4417
"3811-VBYBZ",7,"Month-to-month",True,"Electronic check","99.80","673.25",2031
"4640-UHDOS",13,"Month-to-month",False,"Electronic check","55.95","734.35",4498
"3583-EKAPL",1,"Month-to-month",True,"Electronic check","55.00","55.00",4877
"9399-APLBT",1,"Month-to-month",True,"Electronic check","74.70","74.70",5980
"2359-KMGLI",24,"Month-to-month",True,"Electronic check","80.25","1861.50",4418
"0306-JAELE",5,"Month-to-month",True,"Electronic check","96.10","453.40",4192
"6227-HWPWX",15,"Month-to-month",False,"Bank transfer (automatic)","69.00","994.80",5671
"0447-BEMNG",48,"Month-to-month",True,"Bank transfer (automatic)","45.30","2145.00",4926
"5949-XIKAE",8,"Month-to-month",True,"Electronic check","83.55","680.05",2879
"8372-JUXUI",1,"Month-to-month",True,"Electronic check","74.35","74.35",2814
"0388-EOPEX",2,"Month-to-month",True,"Electronic check","74.40","139.40",4263
"8205-OTCHB",22,"One year",True,"Bank transfer (automatic)","43.75","903.60",3099
"6235-VDHOM",5,"Month-to-month",False,"Electronic check","28.45","131.05",4099
"7783-YKGDV",12,"Month-to-month",True,"Bank transfer (automatic)","99.70","1238.45",2538
"5609-CEBID",20,"Month-to-month",True,"Electronic check","94.10","1782.40",2666
"7218-HKQFK",2,"Month-to-month",True,"Electronic check","94.20","167.50",3715
"4636-QRJKY",6,"Month-to-month",True,"Electronic check","80.50","502.85",5032
"5956-VKDTT",5,"Month-to-month",True,"Electronic check","74.35","334.80",5273
"9412-GHEEC",40,"Month-to-month",False,"Bank transfer (automatic)","104.80","4131.95",3492
"0257-ZESQC",27,"Month-to-month",True,"Bank transfer (automatic)","75.20","1929.35",4517
"6825-UYPFK",23,"Month-to-month",False,"Bank transfer (automatic)","75.60","1758.60",2115
"8397-MVTAZ",34,"Month-to-month",True,"Electronic check","100.05","3480.00",2568
"9282-IZGQK",1,"Month-to-month",True,"Electronic check","85.00","85.00",5679
"1342-JPNKI",10,"Month-to-month",True,"Bank transfer (automatic)","86.05","834.10",2966
"2817-NTQDO",13,"Month-to-month",True,"Credit card (automatic)","45.55","597.00",4856
"6986-IJDHX",39,"Month-to-month",True,"Mailed check","86.30","3266.00",3364
"5301-GAUUY",32,"Month-to-month",True,"Bank transfer (automatic)","80.35","2596.15",5974
"0939-YAPAF",35,"Month-to-month",True,"Electronic check","100.25","3527.60",2744
"4710-FDUIZ",56,"One year",False,"Credit card (automatic)","100.30","5614.45",5170
"1218-VKFPE",12,"Month-to-month",False,"Mailed check","19.00","233.55",3535
"3627-FHKBK",1,"Month-to-month",False,"Mailed check","75.30","75.30",3244
"2865-TCHJW",4,"Month-to-month",True,"Electronic check","89.20","346.20",5808
"5192-EBGOV",1,"Month-to-month",True,"Electronic check","85.70","85.70",4880
"0719-SYFRB",12,"Month-to-month",True,"Mailed check","61.65","713.75",5670
"3419-SNJJD",65,"Month-to-month",False,"Bank transfer (automatic)","105.25","6786.40",4196
"6543-CPZMK",9,"Month-to-month",True,"Electronic check","29.95","248.95",2573
"4765-OXPPD",9,"Month-to-month",False,"Mailed check","65.00","663.05",3983
"1009-IRMNA",7,"Month-to-month",False,"Bank transfer (automatic)","20.00","137.60",4479
"4554-YGZIH",49,"Month-to-month",False,"Credit card (automatic)","90.05","4547.25",5059
"5099-BAILX",43,"Month-to-month",True,"Bank transfer (automatic)","110.75","4687.90",2728
"7207-RMRDB",65,"Month-to-month",True,"Electronic check","105.50","6985.65",5720
"4913-EHYUI",56,"One year",True,"Bank transfer (automatic)","104.55","5794.65",6268
"0195-IESCP",10,"Month-to-month",True,"Electronic check","85.25","855.30",3573
"4580-TMHJU",43,"Month-to-month",False,"Electronic check","56.15","2499.30",2152
"0970-ETWGE",1,"Month-to-month",True,"Electronic check","89.55","89.55",4996
"1626-ERCMM",20,"Month-to-month",True,"Electronic check","94.55","1899.65",5604
"0887-HJGAR",1,"Month-to-month",True,"Mailed check","45.70","45.70",2295
"5644-PDMZC",2,"Month-to-month",False,"Electronic check","89.50","161.50",2065
"9576-ANLXO",3,"Month-to-month",True,"Bank transfer (automatic)","69.55","222.30",2876
"2024-BASKD",1,"Month-to-month",True,"Mailed check","74.60","74.60",3860
"4160-AMJTL",8,"Month-to-month",False,"Electronic check","19.65","164.30",5432
"4464-JCOLN",2,"One year",False,"Mailed check","19.85","35.90",2362
"5650-VDUDS",4,"Month-to-month",True,"Mailed check","24.25","96.05",2038
"7538-GWHML",2,"Month-to-month",False,"Electronic check","69.65","145.15",2323
"3859-CVCET",4,"Month-to-month",False,"Mailed check","45.65","191.05",2864
"3276-HDUEG",1,"Month-to-month",True,"Mailed check","75.05","75.05",4838
"0823-HSCDJ",52,"Month-to-month",True,"Electronic check","49.15","2550.90",5597
"0822-GAVAP",2,"Month-to-month",True,"Electronic check","34.70","62.25",3146
"1448-PWKYE",1,"Month-to-month",False,"Electronic check","80.00","80.00",2046
"0067-DKWBL",2,"Month-to-month",True,"Electronic check","49.25","91.10",3475
"2276-YDAVZ",3,"Month-to-month",True,"Credit card (automatic)","75.10","270.70",4965
"5896-NPFWW",3,"Month-to-month",True,"Electronic check","50.15","168.15",3273
"7133-VBDCG",25,"Month-to-month",True,"Bank transfer (automatic)","79.85","2015.35",4535
"1029-QFBEN",1,"Month-to-month",False,"Mailed check","19.55","19.55",3556
"4952-YSOGZ",4,"Month-to-month",True,"Electronic check","85.95","381.30",5640
"1589-AGTLK",3,"Month-to-month",True,"Electronic check","45.35","141.50",2450
"5244-IRFIH",33,"Month-to-month",True,"Electronic check","94.50","3105.55",4333
"2684-EIWEO",30,"Month-to-month",False,"Credit card (automatic)","91.70","2758.15",2482
"6439-GTPCA",45,"Month-to-month",True,"Electronic check","87.25","3941.70",5269
"5138-WVKYJ",10,"Month-to-month",False,"Electronic check","98.55","1008.55",3658
"6683-VLCTZ",20,"Month-to-month",True,"Electronic check","98.55","1842.80",5444
"2189-WWOEW",15,"Month-to-month",True,"Bank transfer (automatic)","85.90","1269.55",3579
"1894-IGFSG",22,"Month-to-month",False,"Electronic check","89.25","1907.85",3161
"7379-POKDZ",3,"Month-to-month",True,"Electronic check","70.30","208.85",3038
"0236-HFWSV",15,"Month-to-month",True,"Electronic check","93.35","1444.65",5264
"3900-AQPHZ",1,"Month-to-month",False,"Mailed check","19.90","19.90",4248
"5842-POCOP",5,"Month-to-month",True,"Mailed check","88.90","454.15",4356
"2037-XJFUP",33,"One year",True,"Electronic check","95.80","3036.75",4161
"7314-OXENN",2,"Month-to-month",True,"Electronic check","82.00","184.65",3051
"0322-CHQRU",2,"Month-to-month",False,"Electronic check","45.35","89.50",3478
"4678-DVQEO",1,"Month-to-month",True,"Electronic check","52.20","52.20",4138
"0691-IFBQW",46,"One year",True,"Electronic check","110.00","4874.80",2403
"3009-JWMPU",62,"One year",True,"Electronic check","96.75","6125.40",5016
"1450-GALXR",10,"Month-to-month",True,"Electronic check","98.50","1058.25",5184
"3138-BKYAV",6,"Month-to-month",True,"Electronic check","85.35","489.45",4694
"4289-DTDKW",40,"Month-to-month",True,"Electronic check","101.30","4113.10",2576
"1820-TQVEV",1,"Month-to-month",True,"Electronic check","69.55","69.55",3042
"2239-JALAW",58,"One year",True,"Bank transfer (automatic)","103.25","6017.65",6105
"4853-RULSV",70,"Two year",True,"Credit card (automatic)","104.00","7250.15",4544
"6275-YDUVO",2,"Month-to-month",True,"Mailed check","86.20","178.70",2969
"0115-TFERT",21,"Month-to-month",True,"Electronic check","111.20","2317.10",4123
"2311-QYMUQ",16,"Month-to-month",True,"Credit card (automatic)","89.45","1430.25",3696
"3643-AHCFP",7,"Month-to-month",True,"Bank transfer (automatic)","95.60","644.35",3265
"3104-OWCGK",60,"One year",False,"Electronic check","90.95","5453.40",4111
"9101-BWFSS",50,"One year",False,"Electronic check","108.55","5610.70",4274
"9231-ZJYAM",4,"Month-to-month",True,"Electronic check","78.85","292.80",5301
"6982-SSHFK",1,"Month-to-month",False,"Mailed check","44.40","44.40",3522
"0727-BMPLR",55,"One year",True,"Electronic check","100.00","5509.30",5679
"1038-ZAGBI",12,"One year",False,"Bank transfer (automatic)","19.80","229.60",2653
"3027-ZTDHO",1,"Month-to-month",True,"Electronic check","89.90","89.90",5951
"2382-BCKQJ",62,"One year",True,"Electronic check","100.15","6413.65",5600
"2207-NHRJK",1,"Month-to-month",False,"Electronic check","50.80","50.80",3718
"0947-MUGVO",20,"Month-to-month",True,"Electronic check","73.65","1463.50",5849
"9944-HKVVB",3,"Month-to-month",True,"Electronic check","95.10","307.40",5861
"4124-MMETB",22,"Month-to-month",True,"Credit card (automatic)","94.65","2104.55",3665
"3671-SHRSP",4,"Month-to-month",True,"Mailed check","80.60","319.15",3080
"3313-QKNKB",59,"One year",False,"Electronic check","85.55","5084.65",6304
"5073-WXOYN",60,"Month-to-month",True,"Electronic check","50.80","3027.40",4941
"0207-MDKNV",15,"Month-to-month",False,"Electronic check","105.10","1582.75",2122
"9851-KIELU",10,"Month-to-month",True,"Electronic check","110.10","1043.30",5803
"3908-BLSYF",6,"Month-to-month",False,"Electronic check","83.90","497.55",3962
"7549-MYGPK",63,"Month-to-month",True,"Electronic check","100.55","6215.35",5413
"3804-RVTGV",50,"Month-to-month",True,"Bank transfer (automatic)","103.85","5017.90",5812
"9227-LUNBG",1,"Month-to-month",False,"Electronic check","24.60","24.60",5768
"4315-MURBD",12,"Month-to-month",True,"Bank transfer (automatic)","98.90","1120.95",5559
"9734-YWGEX",9,"Month-to-month",False,"Credit card (automatic)","98.30","923.50",2954
"2719-BDAQO",17,"Month-to-month",False,"Electronic check","93.85","1625.65",4940
"0781-LKXBR",9,"Month-to-month",True,"Electronic check","100.50","918.60",4038
"1907-UBQFC",10,"Month-to-month",True,"Electronic check","72.85","688.65",3189
"6513-EECDB",1,"Month-to-month",True,"Electronic check","73.55","73.55",4369
"7074-IEVOJ",3,"Month-to-month",True,"Electronic check","79.40","205.05",3501
"9625-QSTYE",13,"Month-to-month",True,"Electronic check","81.15","952.30",4806
"4750-ZRXIU",4,"Month-to-month",True,"Electronic check","84.60","360.10",2467
"6400-BWQKW",6,"Month-to-month",True,"Electronic check","79.05","434.50",3263
"6680-WKXRZ",3,"Month-to-month",False,"Bank transfer (automatic)","74.40","215.80",2054
"7028-DVOIQ",35,"Month-to-month",True,"Electronic check","99.05","3395.80",2074
"4208-UFFGW",2,"Month-to-month",False,"Mailed check","44.95","85.15",5900
"9448-REEVD",1,"Month-to-month",False,"Credit card (automatic)","44.70","44.70",3700
"9117-SHLZX",1,"Month-to-month",True,"Mailed check","45.70","45.70",3571
"9889-TMAHG",8,"Month-to-month",False,"Credit card (automatic)","100.30","832.35",5084
"4541-RMRLG",7,"Month-to-month",False,"Electronic check","19.25","112.30",4489
"3158-MOERK",2,"Month-to-month",True,"Electronic check","96.00","174.80",3391
"7294-TMAOP",1,"Month-to-month",False,"Electronic check","90.55","90.55",2627
"8919-FYFQZ",44,"Month-to-month",True,"Electronic check","30.35","1359.70",4829
"2834-JRTUA",71,"Two year",True,"Electronic check","108.05","7532.15",5200
"5875-YPQFJ",1,"Month-to-month",True,"Electronic check","69.90","69.90",5367
"6646-QVXLR",62,"One year",True,"Electronic check","103.75","6383.35",5052
"8603-IJWDN",1,"Month-to-month",True,"Electronic check","86.60","86.60",5228
"9369-XFEHK",33,"Month-to-month",True,"Bank transfer (automatic)","80.60","2656.50",3601
"3842-IYKUE",35,"Month-to-month",False,"Credit card (automatic)","85.30","2917.50",2455
"6641-XRPSU",34,"Month-to-month",True,"Credit card (automatic)","70.00","2416.10",2318
"1374-DMZUI",4,"Month-to-month",True,"Electronic check","94.30","424.45",5419
"8357-EQXFO",7,"Month-to-month",True,"Electronic check","95.35","660.90",3077
"1989-PRJHP",27,"Month-to-month",True,"Electronic check","75.50","1893.95",2377
"9524-EGPJC",18,"Month-to-month",True,"Electronic check","90.10","1612.75",4260
"6993-OHLXR",2,"Month-to-month",False,"Electronic check","68.95","119.75",5225
"8818-XYFCQ",32,"Month-to-month",True,"Credit card (automatic)","99.55","3204.65",5026
"4695-VADHF",18,"Month-to-month",False,"Electronic check","57.45","990.85",2989
"3863-IUBJR",12,"One year",False,"Credit card (automatic)","53.65","696.35",2595
"4822-RVYBB",8,"Month-to-month",True,"Electronic check","100.60","819.40",5906
"8436-BJUMM",26,"Month-to-month",True,"Electronic check","83.75","2070.60",2404
"4184-TJFAN",3,"Month-to-month",True,"Mailed check","88.30","273.75",4486
"4145-UQXUQ",8,"Month-to-month",True,"Electronic check","92.10","729.95",5662
"9948-YPTDG",38,"Month-to-month",True,"Electronic check","79.45","3013.05",2405
"1236-WFCDV",14,"Month-to-month",False,"Credit card (automatic)","90.45","1266.10",4777
"4883-QICIH",32,"Month-to-month",True,"Bank transfer (automatic)","69.75","2347.90",2356
"8329-IBCTI",1,"Month-to-month",False,"Mailed check","19.65","19.65",5881
"1271-SJBGZ",12,"Month-to-month",True,"Electronic check","43.65","526.95",2437
"5669-SRAIP",5,"Month-to-month",False,"Electronic check","39.50","210.75",2863
"5981-ITEMU",40,"Month-to-month",True,"Bank transfer (automatic)","97.10","3706.95",3099
"6941-PMGEP",5,"Month-to-month",True,"Electronic check","80.00","412.50",3937
"1624-WOIWJ",10,"Month-to-month",True,"Mailed check","84.70","832.05",5686
"2074-GKOWZ",2,"Month-to-month",True,"Bank transfer (automatic)","89.55","185.55",3851
"0376-YMCJC",23,"Month-to-month",True,"Electronic check","90.60","1943.20",4359
"0634-SZPQA",23,"Month-to-month",True,"Bank transfer (automatic)","90.05","2169.80",4650
"5536-RTPWK",49,"Month-to-month",True,"Bank transfer (automatic)","99.05","4853.75",5157
"6166-ILMNY",2,"Month-to-month",False,"Bank transfer (automatic)","69.75","144.55",5667
"3097-NNSPB",2,"Month-to-month",True,"Credit card (automatic)","49.05","91.10",2960
"0655-RBDUG",7,"Month-to-month",True,"Bank transfer (automatic)","98.05","713.00",2561
"4361-BKAXE",41,"Month-to-month",True,"Bank transfer (automatic)","114.50","4527.45",3038
"9878-TNQGW",2,"Month-to-month",True,"Electronic check","80.95","171.15",3533
"4441-NIHPT",13,"Month-to-month",True,"Electronic check","74.30","940.35",2995
"8999-BOHSE",11,"Month-to-month",False,"Bank transfer (automatic)","89.70","1047.70",2202
"7029-RPUAV",17,"Month-to-month",True,"Credit card (automatic)","100.45","1622.45",5508
"4607-CHPCA",25,"One year",True,"Electronic check","90.40","2178.60",5801
"8824-RWFXJ",3,"Month-to-month",True,"Mailed check","56.15","168.15",2539
"9763-PDTKK",4,"Month-to-month",True,"Bank transfer (automatic)","94.40","387.20",4249
"7627-JKIAZ",37,"Month-to-month",True,"Credit card (automatic)","78.95","2839.65",3982
"4081-DYXAV",19,"One year",True,"Credit card (automatic)","44.85","893.55",5182
"8111-SLLHI",39,"Month-to-month",True,"Electronic check","105.65","4284.80",4687
"0927-LCSMG",7,"Month-to-month",False,"Mailed check","74.65","544.55",3331
"8257-RZAHR",14,"Month-to-month",True,"Bank transfer (automatic)","64.70","941.00",4049
"5293-WXJAK",11,"Month-to-month",True,"Bank transfer (automatic)","104.05","1133.65",4553
"0841-NULXI",1,"Month-to-month",True,"Electronic check","35.55","35.55",3958
"7851-WZEKY",2,"Month-to-month",True,"Electronic check","95.15","196.90",2414
"8844-TONUD",13,"Month-to-month",True,"Mailed check","96.65","1162.85",5295
"4086-YQSNZ",3,"Month-to-month",True,"Electronic check","80.40","224.05",3834
"5868-CZJDR",1,"Month-to-month",True,"Mailed check","31.35","31.35",3605
"0135-NMXAP",12,"Month-to-month",True,"Bank transfer (automatic)","89.75","1052.40",5671
"6270-OMFIW",60,"One year",True,"Electronic check","94.40","5610.25",4990
"6818-WOBHJ",68,"Month-to-month",True,"Bank transfer (automatic)","89.60","6127.60",5651
"0107-WESLM",1,"Month-to-month",True,"Electronic check","19.85","19.85",3874
"3992-YWPKO",6,"Month-to-month",True,"Credit card (automatic)","109.90","669.45",5750
"0125-LZQXK",15,"Month-to-month",True,"Electronic check","101.35","1553.95",3025
"8399-YNDCH",21,"Month-to-month",True,"Bank transfer (automatic)","60.05","1236.15",4716
"5673-FSSMF",1,"Month-to-month",True,"Electronic check","60.15","60.15",4611
"1579-KLYDT",7,"Month-to-month",True,"Electronic check","90.45","593.45",5356
"3927-NLNRY",53,"One year",True,"Bank transfer (automatic)","94.25","4867.95",5414
"6358-LYNGM",1,"Month-to-month",True,"Electronic check","74.90","74.90",2548
"5494-HECPR",1,"Month-to-month",True,"Electronic check","80.25","80.25",2502
"9824-BEMCV",17,"Month-to-month",True,"Electronic check","69.00","1149.65",3368
"1373-ORVIZ",11,"Month-to-month",True,"Electronic check","66.35","740.80",2860
"9866-QEVEE",19,"Month-to-month",True,"Bank transfer (automatic)","86.00","1532.45",4857
"9897-KXHCM",3,"Month-to-month",True,"Electronic check","80.30","250.05",3212
"7979-CORPM",24,"Month-to-month",True,"Credit card (automatic)","90.55","2282.55",5927
"1618-CFHME",2,"Month-to-month",True,"Electronic check","75.90","143.35",2101
"3165-HDOEW",1,"Month-to-month",True,"Mailed check","45.85","45.85",3706
"6581-NQCBA",16,"Month-to-month",True,"Electronic check","49.95","810.20",4840
"1689-MRZQR",34,"Month-to-month",False,"Electronic check","78.30","2564.30",2777
"5835-BEQEU",3,"Month-to-month",True,"Electronic check","76.95","228.40",4428
"5565-FILXA",16,"Month-to-month",True,"Electronic check","96.15","1529.20",5913
"5552-ZNFSJ",1,"Month-to-month",False,"Electronic check","45.30","45.30",4568
"2223-KAGMX",15,"Month-to-month",False,"Bank transfer (automatic)","19.40","289.30",5379
"7321-PKUYW",11,"Month-to-month",False,"Electronic check","90.15","987.95",5250
"2833-SLKDQ",1,"Month-to-month",False,"Mailed check","45.05","45.05",4094
"7595-EUIVN",1,"Month-to-month",False,"Electronic check","75.80","75.80",3940
"2026-TGDHM",7,"Month-to-month",True,"Electronic check","79.30","523.15",3830
"4030-VPZBD",2,"Month-to-month",True,"Electronic check","30.90","59.05",2860
"4187-CINZD",46,"One year",False,"Credit card (automatic)","95.25","4424.20",3180
"2408-TZMJL",59,"One year",True,"Electronic check","110.15","6448.05",4601
